Date,D/d50,Frd,d*,W/D,sheilds parameter,measured log(Phi)
5/7/1974,108.4773001,4.149884868,1259.232361,35.55555556,0.069711788,-2.995110914
4/29/1978,113.7418756,3.845631422,1089.7495,37.55102041,0.064139647,-2.692831974
4/23/2009,122.0569442,4.174342325,1027.774424,36.26249309,0.071918183,-3.693317555
4/11/1974,127.4534795,4.191116087,992.360095,37.2,0.07403652,-2.624175924
4/24/1974,147.1012403,4.629694559,877.0105657,36.66666667,0.086231762,-2.75287948
5/2/1978,142.8571429,4.354475649,849.9438998,38.125,0.077328694,-2.657173163
4/21/1976,152.0218912,4.577273969,831.9837758,37.2,0.086559403,-2.80282113
4/5/1978,137.5119923,3.791585471,791.0043377,41.1627907,0.06517271,-2.692261522
5/3/1978,162.1442753,4.591538973,764.4435909,37.55102041,0.091434017,-2.603309895
4/19/1976,166.5533651,4.839689618,744.2068314,37.55102041,0.093920326,-2.171694845
4/4/1978,189.2857143,4.388481952,708.2865832,33.58490566,0.094195783,-2.420281678
4/13/1976,194.975628,5.474091089,674.6429705,36.73076923,0.121030281,-2.576697179
5/17/1978,189.4986182,5.015195996,640.7463983,38.125,0.102575765,-2.580158376
4/15/1976,206.8416866,5.638205371,635.9401679,36.34615385,0.124761353,-2.027451991
5/20/1975,262.5182304,6.455744715,520.3376792,35.55555556,0.168704561,-2.496141785
6/16/2009,894.707581,10.38357061,133.5626128,38.71249599,0.451759992,-2.484227273
5/16/1978,1200,12.62046943,101.1837976,38.125,0.649561031,-1.633769995
5/6/2008,4157.87565,20.06155192,25.2959494,41.05173276,1.757999534,-1.546404425
6/8/1976,5531.914894,29.1581255,23.77819244,36.34615385,3.400258803,-0.827218898
5/14/1975,5909.090909,29.05948574,22.26043547,36.34615385,3.564205012,-0.634999978
4/16/2009,4725.220326,20.34866995,21.75451648,42.75326667,1.821423146,-2.293111633
5/16/1974,6172.839506,29.16730714,20.48971901,37.2,3.585744062,-0.509928165
5/1/1975,6000,28.22022756,20.23675952,38.125,3.247805154,-0.563038594
6/20/1978,5696.202532,26.12641293,19.98380003,39.33333333,2.825271911,-0.751566443
5/10/1972,6575.342466,29.54228441,18.46604306,37.70833333,3.5572793,-1.442359465
6/10/1976,7222.222222,33.31633953,18.21308357,36.34615385,4.397738671,-0.448117171
5/13/1976,7971.014493,36.4638235,17.45420509,35.45454545,5.304629239,-0.481064848
5/25/1976,7794.117647,34.28223055,17.20124559,36.03773585,4.878118545,-0.557897517
6/11/1974,8461.538462,37.56903784,16.44236711,35.27272727,5.532457786,-0.592467768
5/22/1979,6769.230769,27.55062775,16.44236711,40.22727273,3.282934504,-0.635144575
6/10/2008,7537.774603,30.51247847,15.93644812,38.3182439,3.894809592,-0.881624947
6/18/1973,6065.57377,21.9760432,15.43052913,43.78378378,2.249932698,-1.329323932
5/17/1973,7000,27.37216605,15.17756964,40.71428571,3.154150198,-0.829344884
5/27/1976,8983.050847,36.80421184,14.92461015,36.03773585,5.622238324,-0.394970668
6/7/1979,7192.982456,26.7459522,14.41869116,41.70731707,3.078327922,-1.050360325
5/5/1976,9642.857143,36.42799321,14.16573166,35,5.749385749,-0.324387992
5/20/2009,10147.5643,39.92710669,13.40685318,35.70407865,6.405805902,-1.2720871
4/7/1976,8653.846154,30.80253823,13.15389369,39.33333333,4.192420483,-0.638998668
6/2/1972,11600,47.11882306,12.6479747,33.96551724,8.23280165,-0.594548657
4/15/1975,8775.510204,30.28912664,12.39501521,40.69767442,4.156881608,-0.614213772
5/2/1979,8571.428571,30.28912664,12.39501521,40.95238095,3.863276413,-0.908869577
6/14/1972,10408.16327,38.94316282,12.39501521,36.07843137,6.155962619,-1.03450089
6/5/1979,9166.666667,32.06029827,12.14205571,40.22727273,4.339791891,-0.583610454
5/19/1972,11041.66667,42.26130226,12.14205571,35.66037736,6.906825014,-0.782835134
6/13/1978,10444.44444,36.12189128,11.38317723,38.93617021,5.539049539,-0.538100948
5/1/1973,7777.777778,24.08126085,11.38317723,45.14285714,2.663156821,-2.305164546
6/26/1975,12325.5814,44.65080226,10.87725824,36.22641509,7.787139282,-0.437416932
6/11/1975,12093.02326,43.11111942,10.87725824,36.34615385,7.433123896,-0.628548967
5/24/1979,11190.47619,37.38970966,10.62429875,38.5106383,5.802548292,-0.518346821
5/15/1979,9285.714286,29.60018682,10.62429875,43.33333333,3.873185638,-1.447363748
6/7/1978,11951.21951,40.99651272,10.37133925,37.95918367,6.743022542,-0.594551507
7/8/2008,9712.07267,28.38921705,10.11837976,43.15247777,3.598338068,-1.830773414
